type,country,sort
Sale,Afghanistan,LowestPrice
Rent,Albania,HighestPrice
Sale,Algeria,LowestPrice
Rent,Andorra,HighestPrice
Sale,Angola,LowestPrice
Rent,AntiguaandBarbuda,HighestPrice
Sale,Argentina,LowestPrice
Rent,Armenia,HighestPrice
Sale,Australia,LowestPrice
Rent,Austria,HighestPrice
Sale,Azerbaijan,LowestPrice
Rent,Bahamas,HighestPrice
Sale,Bahrain,LowestPrice
Rent,Bangladesh,HighestPrice
Sale,Barbados,LowestPrice
Rent,Belarus,HighestPrice
Sale,Belgium,LowestPrice
Rent,Dominica,HighestPrice
Sale,Djibouti,LowestPrice
Rent,Denmark,HighestPrice
Sale,Benin,LowestPrice
Rent,Bhutan,HighestPrice
Sale,Bolivia,LowestPrice
Rent,BosniaandHerzegovina,HighestPrice
Sale,Botswana,LowestPrice
Rent,Brazil,HighestPrice
Sale,Brunei,LowestPrice
Rent,Bulgaria,HighestPrice
Sale,BurkinaFaso,LowestPrice
Rent,Burundi,HighestPrice
Sale,CaboVerde,LowestPrice
Rent,Cambodia,HighestPrice
Sale,Cameroon,LowestPrice
Rent,Canada,HighestPrice
Sale,CentralAfricanRepublic,LowestPrice
Rent,Chad,HighestPrice
Sale,Chile,LowestPrice
Rent,China,HighestPrice
Sale,Colombia,LowestPrice
Rent,Comoros,HighestPrice
Sale,CongoBrazzaville,LowestPrice
Rent,CostaRica,HighestPrice
Sale,Côted'Ivoire,LowestPrice
Rent,Croatia,HighestPrice
Sale,Cuba,LowestPrice
Rent,Cyprus,HighestPrice
Sale,Czechia,LowestPrice
